org_id,org_name,address,ward,org_type,email,number,description, website ,image,lat,long
1.0,Bread for the City Southeast Food Distribution Center,"1700 Marion Barry Ave SE, Washington, DC 20020 ",8,food_bank,info@breadforthecity.org,(202) 265-2400,"The mission of Bread for the City is to help Washington, DC residents living with low income to develop their power to determine the future of their own communities. We provide food, clothing, medical care, and legal and social services to reduce the burden of poverty. We seek justice through community organizing and public advocacy. We work to uproot racism, a major cause of poverty. We are committed to treating our clients with the dignity and respect that all people deserve.", https://breadforthecity.org/food/ ,https://breadforthecity.org/wp-content/uploads/2023/01/logo.svg,38.8662188,-76.9810977
2.0,Project Create Arts Center,"2208 Martin Luther King Jr Ave SE, Washington, DC 20020",8,youth_focused,info@projectcreatedc.org,(202) 889-0655,"Project Create is a community-based nonprofit that promotes creative youth development through multi-disciplinary arts education, arts enrichment, and art therapy. Project Create staff and teaching artists have been working with children, youth, and families in Washington DC for thirty years. Our students participate in out-of-school-time art classes, workshops, open studios, field trips, and exhibition and performance opportunities. ", https://projectcreatedc.org/ ,https://projectcreatedc.org/wp-content/uploads/2022/03/Project-Create-Logo-768x327.png,38.864481,-76.9896614
3.0,Little Lights,"760 7th St SE, Washington, DC 20003",6,youth_focused,info@littlelights.org,(202) 548-4021,"Today Little Lights continues to holistically serves roughly 250 students and 250 adults each year who live in DC's public housing communities. Our mission is to empower underserved youth, families, and communities in Washington DC by sharing the hope of Christ through compassionate action, caring relationships, and racial reconciliation.", https://littlelights.org/ ,https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/311120222_474792138016640_3725603008834463075_n.png?stp=dst-png&cstp=mx180x180&ctp=s180x180&_nc_cat=109&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=NeeqVDBfMNoQ7kNvwHbTGvE&_nc_oc=AdrwJhAlCB7bRovPXuK9uD6hyA1rqng9q5f1U08phYi8wz2zQAcG1b9g7GXdWTh4lMo&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=wreWz4e1xysbjhz4mNQFvQ&_nc_ss=7b2a8&oh=00_AQC4kkK_B-mZr0D4l-xcfIZ3CesRb7b3ythNp_gDWYSY7Q&oe=6A6DB070,38.879522,-76.9960274
4.0,BOSSDC Nonprofit for Youth Development ,"1231 Marion Barry Ave SE, Washington, DC 20020",8,youth_focused,bossincdc@gmail.com,(202) 903-8638,"Beta Omega Social Services (also known as ‘BOSS’) was established in 2003 as a 501 c (3) Non-Profit organization by the Washington DC Alumni chapter of Iota Phi Theta Fraternity, Inc. The organization was established as a public charity organization to support the perpetual development of underserved communities within the Washington DC metropolitan area.
​Beta Omega Social Services has adopted a set of programs designed to improve the physical, economic and communal well-being of youth and families. ", https://www.bossdc.org/ ,https://www.bossdc.org/wp-content/uploads/al_opt_content/IMAGE/www.bossdc.org/wp-content/uploads/2025/10/76945462.png.bv.webp?bv_host=www.bossdc.org,38.8669208,-76.9876074
5.0,Greater Fellowship Gospel Baptist Church ,"814 Alabama Ave SE, Washington, DC 20032 ",8,church,,(202) 561-5594,"Greater Fellowship Gospel Baptist Church is a church that has the vision to bring people to Jesus and Membership in His Family;
to develop them in Christ like Maturity; to equip them for their Ministry in the church, and life Mission in the world; In order to magnify God’s name. (Adapted from Saddleback Church)", https://greaterfellowshipdc.org/ ,https://storage1.snappages.site/3VDZR8/assets/images/6128814_2000x2000_500.png,38.8440468,-76.9938772
6.0,Martha's Table at The Commons,"2375 Elvans Rd SE, Washington, DC 20020",8,food_bank,info@marthastable.org,(202) 328-6608,"Our work is guided by the wisdom and leadership of our neighbors and rooted in the belief that strong communities are built by investing in people. We are committed to walking alongside our neighbors, creating opportunities, and strengthening the foundations that allow children and families to succeed.", https://marthastable.org/ ,https://marthastable.org/wp-content/uploads/2019/03/logo.svg,38.8545561,-76.9853198
7.0,Career Path DC,"3215 Martin Luther King Jr Ave SE, Washington, DC 20032",8,career_workforce,info@careerpathdc.org,(202) 621-8341,"The Career Path DC Clean and Safe Team serves as a resource within the District of Columbia by creating employment opportunities for the residents and creating a clean and safe environment within the communities we serve. We create employment opportunities for the City’s most needy residents, selecting participants from each of the eight Wards within the City. We provide these individuals with intensive life skills and job readiness training, focusing on obtaining and maintaining employment, acceptable workplace behaviors, and overcoming barriers. The participants also receive work experience training, learning the methods of beautification within living, working, and business environments.", http://www.careerpathdc.org/ ,http://www.careerpathdc.org/CPDC.JPG,38.8430175,-77.0013012
8.0,Boys and Girls Clubs of Greater Washington,"4103 Benning Rd NE, Washington, DC 20019",7,youth_focused,,(202) 397-2582,"Boys & Girls Clubs of Greater Washington (BGCGW) traces its roots to 1886 as the Newsboys and Children's Aid Society, evolving through several name changes before becoming Boys & Girls Clubs of Greater Washington in 1981 when it began serving both boys and girls equally. Its mission is to help young people, especially those who need it most, build confidence, develop character, and gain the skills to become productive, civic-minded adults.", http://www.bgcgw.org/ ,https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/279312384_357095483114507_893070847855970811_n.png?stp=dst-png&cstp=mx425x425&ctp=s200x200&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=oi_QoYhJF9IQ7kNvwHKByiJ&_nc_oc=AdrOEzRzs5-4QhRFYfFx4mcsIZWFywjDC6SY2t7c4KtebC2Z8W4Z4moysFBAZ0Hqw4o&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=lLT01dhOVWTDNcKFBTmMVQ&_nc_ss=7b2a8&oh=00_AQCfkmxo1ZQzjTAhGfL567yxzngu5bW3DGsPk2OOiYd7GA&oe=6A6DB382,38.8926036,-76.9436236
9.0,"Kid Power, Inc.","400 E St SW, Washington, DC 20024",6,youth_focused,info@kidpowerdc.org,(202) 484-1404,"Kid Power provides civics-based academic enrichment, hands-on science and gardening, and mentorship to DC youth in under-resourced neighborhoods. The organization empowers students to build academic skills, practice healthy living, and advocate for positive change in their communities.", https://www.kidpowerdc.org/ ,https://www.kidpowerdc.org/wp-content/uploads/2025/03/Color-Logo-96x96-1.png,38.8828127,-77.0179767
10.0,"Urban Outreach, Inc","5343 C St SE, Washington, DC 20019",7,church,info@urbanoutreachdc.org,(202) 575-4867,"Urban Ed provides technology-focused education, information technology certifications, and workforce development to children, youth, and adults in the DC region. Its programs address early educational gaps and equip residents with marketable technical skills for high-demand IT careers.", https://urbanoutreachdc.org/ ,https://storage1.snappages.site/V28X8T/assets/images/5812236_1083x628_500.jpg,38.8843187,-76.9246119
